Location,Year,0-24,25-34,35-44,45-54,55+,Total
Alabama,2017,31,122,101,96,72,422
Alaska,2017,N/A,N/A,N/A,N/A,N/A,102
Arizona,2017,118,221,185,176,228,928
Arkansas,2017,20,53,38,39,38,188
California,2017,208,536,380,402,671,2199
Colorado,2017,57,173,130,93,124,578
Connecticut,2017,90,261,230,210,164,955
Delaware,2017,25,65,63,59,38,250
District of Columbia,2017,N/A,N/A,N/A,N/A,N/A,244
Florida,2017,217,947,840,653,587,3245
Georgia,2017,100,279,232,222,181,1014
Hawaii,2017,N/A,N/A,N/A,N/A,27,53
Idaho,2017,N/A,N/A,N/A,N/A,N/A,103
Illinois,2017,181,561,485,533,442,2202
Indiana,2017,115,367,306,228,160,1176
Iowa,2017,28,41,41,57,39,206
Kansas,2017,17,21,31,35,40,144
Kentucky,2017,76,303,353,278,150,1160
Louisiana,2017,26,112,119,93,65,415
Maine,2017,23,115,96,79,46,360
Maryland,2017,142,534,417,471,421,1985
Massachusetts,2017,132,587,466,432,296,1913
Michigan,2017,162,572,455,432,412,2033
Minnesota,2017,57,110,84,99,72,422
Mississippi,2017,12,44,44,47,38,185
Missouri,2017,104,279,256,162,151,952
Montana,2017,N/A,11,N/A,N/A,12,38
Nebraska,2017,N/A,N/A,N/A,N/A,N/A,59
Nevada,2017,39,73,74,103,123,412
New Hampshire,2017,40,147,95,94,48,424
New Jersey,2017,193,541,419,480,334,1969
New Mexico,2017,26,93,76,69,68,332
New York,2017,270,907,702,738,606,3224
North Carolina,2017,215,589,479,413,257,1953
North Dakota,2017,N/A,10,N/A,N/A,N/A,35
Ohio,2017,336,1263,1136,894,664,4293
Oklahoma,2017,25,73,93,100,97,388
Oregon,2017,40,76,71,60,97,344
Pennsylvania,2017,272,819,636,463,353,2548
Rhode Island,2017,16,73,70,68,50,277
South Carolina,2017,64,193,174,180,138,749
South Dakota,2017,N/A,10,N/A,N/A,11,35
Tennessee,2017,105,303,307,306,248,1269
Texas,2017,175,387,301,288,307,1458
Utah,2017,43,117,109,80,107,456
Vermont,2017,15,37,28,16,18,114
Virginia,2017,103,366,308,269,195,1241
Washington,2017,68,190,128,168,188,742
West Virginia,2017,51,212,240,187,143,833
Wisconsin,2017,91,281,223,175,156,926
Wyoming,2017,N/A,N/A,12,15,N/A,47
