Location,Year,0-24,25-34,35-44,45-54,55+,Total
Alabama,2011,23,40,37,56,20,176
Alaska,2011,N/A,N/A,N/A,N/A,N/A,66
Arizona,2011,77,123,106,138,118,562
Arkansas,2011,21,46,46,41,15,169
California,2011,208,331,348,580,471,1938
Colorado,2011,58,92,95,98,75,418
Connecticut,2011,34,53,47,51,24,209
Delaware,2011,15,33,18,33,14,113
District of Columbia,2011,N/A,N/A,N/A,19,17,51
Florida,2011,121,393,338,460,264,1576
Georgia,2011,70,121,132,148,64,535
Hawaii,2011,N/A,N/A,16,24,24,77
Idaho,2011,11,15,18,19,14,77
Illinois,2011,127,263,199,213,105,907
Indiana,2011,39,97,80,94,46,356
Iowa,2011,21,38,41,46,26,172
Kansas,2011,11,29,28,31,19,118
Kentucky,2011,48,155,201,192,73,669
Louisiana,2011,N/A,N/A,N/A,N/A,N/A,116
Maine,2011,N/A,N/A,N/A,N/A,N/A,85
Maryland,2011,68,138,103,165,72,546
Massachusetts,2011,69,181,155,165,84,655
Michigan,2011,83,174,168,192,97,714
Minnesota,2011,34,53,61,78,60,286
Mississippi,2011,N/A,17,28,24,N/A,79
Missouri,2011,74,156,140,156,69,595
Montana,2011,N/A,N/A,N/A,N/A,N/A,63
Nebraska,2011,N/A,16,N/A,16,10,53
Nevada,2011,57,86,87,127,104,461
New Hampshire,2011,17,34,34,42,27,154
New Jersey,2011,72,103,98,121,59,454
New Mexico,2011,32,53,51,57,50,243
New York,2011,173,315,278,387,203,1356
North Carolina,2011,92,195,194,233,107,822
North Dakota,2011,N/A,N/A,N/A,N/A,N/A,10
Ohio,2011,111,293,288,408,172,1272
Oklahoma,2011,54,98,95,159,77,483
Oregon,2011,38,80,98,96,80,392
Pennsylvania,2011,106,222,157,180,87,752
Rhode Island,2011,N/A,N/A,N/A,N/A,N/A,142
South Carolina,2011,30,56,58,67,32,243
South Dakota,2011,N/A,N/A,10,N/A,N/A,34
Tennessee,2011,48,141,171,188,85,633
Texas,2011,217,274,229,278,179,1178
Utah,2011,59,94,88,89,51,381
Vermont,2011,N/A,10,16,13,N/A,55
Virginia,2011,72,136,152,152,63,575
Washington,2011,60,132,158,194,153,697
West Virginia,2011,33,138,163,157,59,550
Wisconsin,2011,64,127,90,120,72,473
Wyoming,2011,N/A,N/A,10,N/A,11,43
