Location,Year,0-24,25-34,35-44,45-54,55+,Total
Alabama,2012,18,45,44,42,16,165
Alaska,2012,13,25,14,17,12,81
Arizona,2012,61,107,107,140,111,526
Arkansas,2012,25,37,40,38,29,169
California,2012,170,313,290,471,475,1719
Colorado,2012,44,99,89,97,78,407
Connecticut,2012,25,50,49,52,24,201
Delaware,2012,11,21,16,23,11,82
District of Columbia,2012,N/A,N/A,13,18,11,44
Florida,2012,87,275,280,397,287,1326
Georgia,2012,50,123,131,146,86,536
Hawaii,2012,N/A,N/A,N/A,N/A,N/A,62
Idaho,2012,N/A,N/A,N/A,N/A,N/A,59
Illinois,2012,160,309,241,302,138,1151
Indiana,2012,57,97,89,83,49,375
Iowa,2012,14,31,45,52,29,171
Kansas,2012,22,39,42,44,24,171
Kentucky,2012,55,151,157,212,98,673
Louisiana,2012,22,51,34,32,30,169
Maine,2012,N/A,N/A,N/A,N/A,N/A,100
Maryland,2012,76,157,132,194,98,657
Massachusetts,2012,53,192,169,192,85,691
Michigan,2012,77,184,126,192,106,685
Minnesota,2012,44,70,49,69,58,290
Mississippi,2012,N/A,N/A,N/A,N/A,N/A,111
Missouri,2012,49,147,131,134,78,539
Montana,2012,N/A,13,N/A,18,N/A,51
Nebraska,2012,N/A,12,13,12,N/A,53
Nevada,2012,38,71,82,136,119,446
New Hampshire,2012,14,37,34,35,13,133
New Jersey,2012,80,146,142,166,68,602
New Mexico,2012,30,69,84,71,65,319
New York,2012,174,363,307,414,272,1530
North Carolina,2012,92,172,198,240,131,833
North Dakota,2012,N/A,N/A,N/A,N/A,N/A,N/A
Ohio,2012,125,350,339,373,168,1355
Oklahoma,2012,48,107,107,161,108,531
Oregon,2012,34,73,76,107,71,361
Pennsylvania,2012,105,261,172,193,96,827
Rhode Island,2012,10,29,30,44,27,140
South Carolina,2012,28,54,55,54,46,237
South Dakota,2012,N/A,10,N/A,N/A,N/A,24
Tennessee,2012,51,158,195,203,116,723
Texas,2012,169,268,233,269,192,1131
Utah,2012,42,107,89,118,66,422
Vermont,2012,N/A,N/A,N/A,N/A,N/A,55
Virginia,2012,54,132,142,150,55,533
Washington,2012,67,125,126,206,171,695
West Virginia,2012,18,110,153,131,56,468
Wisconsin,2012,44,131,107,115,86,483
Wyoming,2012,N/A,N/A,N/A,13,10,45
