Location,Year,0-24,25-34,35-44,45-54,55+,Total
Alabama,2010,24,61,43,44,15,187
Alaska,2010,N/A,12,17,20,N/A,62
Arizona,2010,86,138,116,168,118,626
Arkansas,2010,30,53,47,35,24,189
California,2010,201,304,349,573,502,1929
Colorado,2010,38,64,65,90,47,304
Connecticut,2010,25,38,63,76,21,223
Delaware,2010,N/A,N/A,N/A,N/A,N/A,103
District of Columbia,2010,N/A,N/A,10,14,N/A,34
Florida,2010,171,409,369,452,273,1674
Georgia,2010,74,107,126,148,79,534
Hawaii,2010,N/A,N/A,N/A,N/A,N/A,74
Idaho,2010,N/A,N/A,N/A,N/A,N/A,79
Illinois,2010,126,219,214,217,91,867
Indiana,2010,42,88,54,77,28,289
Iowa,2010,15,28,39,51,14,147
Kansas,2010,15,18,24,36,11,104
Kentucky,2010,51,149,179,158,54,591
Louisiana,2010,16,31,32,31,13,123
Maine,2010,N/A,N/A,N/A,N/A,N/A,90
Maryland,2010,62,120,119,156,52,509
Massachusetts,2010,56,143,137,136,77,549
Michigan,2010,85,154,139,206,111,695
Minnesota,2010,29,54,50,67,35,235
Mississippi,2010,N/A,N/A,N/A,N/A,N/A,100
Missouri,2010,83,168,137,145,65,599
Montana,2010,N/A,16,18,10,N/A,54
Nebraska,2010,N/A,N/A,21,14,N/A,58
Nevada,2010,46,71,95,123,104,439
New Hampshire,2010,N/A,N/A,N/A,N/A,N/A,116
New Jersey,2010,58,71,94,102,48,373
New Mexico,2010,29,51,38,44,29,191
New York,2010,127,199,244,332,172,1074
North Carolina,2010,79,172,180,237,108,776
North Dakota,2010,N/A,N/A,N/A,N/A,N/A,18
Ohio,2010,113,264,275,320,152,1124
Oklahoma,2010,47,109,122,142,90,510
Oregon,2010,32,71,69,93,67,332
Pennsylvania,2010,102,164,138,151,74,629
Rhode Island,2010,N/A,N/A,N/A,N/A,N/A,111
South Carolina,2010,27,60,56,91,37,271
South Dakota,2010,N/A,N/A,12,N/A,N/A,32
Tennessee,2010,62,141,149,201,80,633
Texas,2010,186,236,223,298,180,1123
Utah,2010,59,95,73,74,35,336
Vermont,2010,N/A,N/A,N/A,N/A,N/A,43
Virginia,2010,44,99,100,110,36,389
Washington,2010,62,106,118,207,135,628
West Virginia,2010,43,110,131,114,53,451
Wisconsin,2010,41,93,93,123,65,415
Wyoming,2010,N/A,11,13,14,N/A,47
